hid,title,type,rating,read,last_read,synonyms,mal,anilist,mangaupdates
HIEWEG9,Chronicles Of The Lazy Sovereign,reading,,14,2025-14-09,"태존비록,The Secret Records of the Supreme,태존비록,Taejon Birok,怠尊秘錄",,https://anilist.co/manga/195914?utm_source=comick,https://www.mangaupdates.com/series/9cdts23?utm_source=comick
bogzfqR9,"I Was More Overpowered Than the Hero, so I Hid My Power!",reading,,88,2025-14-09,"용사보다 너무 강해서 힘을 숨김,転生したら最強すぎるのでモブキャラ演じます,Secretamente mais poderoso do que o herói,Yongsaboda Neomu Ganghaeseo Himeul Sumgim,隐藏实力的幕后高手,I Was More Overpowered Than the Hero, so I Hid My Power!,Era más fuerte que el héroe así que oculté mi poder,แกร่งเกินผู้กล้า แต่ซ่าไม่ได้,隱藏力量的邊緣英雄,Soy más fuerte que todos, pero oculto mi poder,Too Strong than the Warrior So He Hides His Strength,Era más fuerte que el héroe así que oculté mi poder, I Was More Overpowered Than the Hero, so I Hid My Power!, Soy más fuerte que todos, pero oculto mi poder, Too Strong than the Warrior So He Hides His Strength, แกร่งเกินผู้กล้า แต่ซ่าไม่ได้, 隐藏实力的幕后高手, 隱藏力量的邊緣英雄, 용사보다 너무 강해서 힘을 숨김",https://myanimelist.net/manga/165324?utm_source=comick,https://anilist.co/manga/171810?utm_source=comick,https://www.mangaupdates.com/series/u7ah0n3?utm_source=comick
nMhN1BlT,The Devil Butler,reading,,753,2025-14-09,"Devil Butler,Как демон-император стал дворецким,The Servant Is the Demon King?!,魔皇大管家,Mo Huang Da Guan Jia,Demon King Steward,Magic Emperor,Housekeeper is the Magic Emperor,Demon Emperor Housekeeper,Demon Emperor Butler,The Steward Demonic King,Best Devil Housekeeper,Demon Emperor Great Butler,Demon Magic Emperor,Der Diener des Dämonenkönigs,Emperador Demoniaco,Housekeeper Is the Magic Emperor,How the Demon Emperor became a Butler,Imperador Demoníaco,Imperador Mágico,Mo Huang Da Guanjia,امپراطور جادو,พ่อบ้านราชาปีศาจ,마황의 귀환,Demonic Emperor,Đại Quản Gia Là Ma Hoàng,The Steward Demonic Emperor,Emperador Mágico",,https://anilist.co/manga/116353?utm_source=comick,https://www.mangaupdates.com/series.html?id=159270&utm_source=comick
wATDywpu,Infinite Evolution Starting from Zero,reading,,,,从零开始无限进化,,,
7NqCObsf,The Lone Necromancer,reading,,155,2025-12-09,"나 혼자 네크로맨서,Jedyny Nekromanta,Некромант-одиночка,死灵法师：亡灵支配者,Solo Necromancy,The Only Necromancer,末日獨尊：死靈法師,Nigromante en solitario,O Único Necromante,Only I Am a Necromancer,ソロ降霊術,Nigromante en Solitario",https://myanimelist.net/manga/147450?utm_source=comick,https://anilist.co/manga/139572?utm_source=comick,https://www.mangaupdates.com/series.html?id=188741&utm_source=comick
yTGZqTJE,Enrolling in the Transcendent Academy,reading,,174,2025-12-09,"초월자 학원의 수강생이 되었다,Я стал студентом Трансцендентальной Академии,I Became a Student at the Transcension Academy,Enrolling in the Transcendent Academy,Transcension Academy,欢迎加入超越者学院,超越者学院の受講生になった,cademia da Transcendência,Academia de la Ascension,สถาบันกวดวิชาสำหรับผู้เป็นเลิศ,I Became a Student at the Transcension Academy,I Became a Student at Transcendental Academy,Transcension Academy,Я стал студентом Трансцендентальной Академии,초월자 학원의 수강생이 되었다",https://myanimelist.net/manga/153120?utm_source=comick,https://anilist.co/manga/152608?utm_source=comick,https://www.mangaupdates.com/series/qu9pvzg?utm_source=comick
cd9x_RsS,The Reincarnated Assassin Is a Swordmaster,reading,,77,2025-12-09,"환생한 암살자는 검술 천재,The Reincarnated Assassin is a Genius Swordsman,重生刺客是天才剑士,El asesino reencarnado es un genio de la espada,Hwansaenghan Amsaljaneun Geomsul Cheonjae,ชีวิตใหม่ของนักฆ่าคือจอมดาบอัจฉริยะ,El asesino que reencarnó como un genio espadachín,L'Assassin et le Maître épéiste,刺客的劍術天才轉生錄,転生した暗殺者は剣術の天才",https://myanimelist.net/manga/162380?utm_source=comick,https://anilist.co/manga/168823?utm_source=comick,https://www.mangaupdates.com/series/ro0x0up?utm_source=comick
evPcEhyO,Chāoshén Chǒngshòu Diàn,reading,,181,2025-11-09,"超神宠兽店,Chāo Shén Chǒng Shòu Diàn,Super God Pet Shop,Chao Shen Chong Shou Dian,Cửa hàng sủng thú siêu thần,超神級テイマーに転生した俺が魔力で殲滅無双する,Astral Pet Store,Chaoshen Chongshou Dian,Chāo Shén Chǒng Shòu Diàn,Super God Pet Shop,超神宠兽店,Astral Pet Store",,https://anilist.co/manga/160143?utm_source=comick,https://www.mangaupdates.com/series/8lke1mq?utm_source=comick
x_bdWVIL,A Modern Man Who Transmigrated Into the Murim World,reading,,144,2025-11-09,"Murime Tteoreojin Hyeondaein,무림에 떨어진 현대인,Modern Man Falling Into the World of Murim,Un hombre moderno en el Murim,Modern Dude in the Murim,A Modern Man Who Got Transmigrated to Murim,武林에 떨어진 現代人,A Modern Man Who Got Transmigrated Into the Murim World,武林に降り立った現代人,переселившийся в мир Мурим маньхуа,Современный человек,Hombre del siglo XI en la antigüedad,Un hombre moderno que transmigró al mundo murim",https://myanimelist.net/manga/158496?utm_source=comick,https://anilist.co/manga/159445?utm_source=comick,https://www.mangaupdates.com/series/pupzzsk?utm_source=comick
i3U99GMc,Frozen Warrior,reading,,10,2025-11-09,"นักรบแช่แข็ง,The Frostbound Warrior,냉동무사,Kesatria Es,冰影戰魂,The Frostbound Warrior, 냉동무사, Kesatria Es",,,
