id,title,type,rating,chapters_read,last_read,reading_category,synonyms_count,top_synonyms,has_mal,has_anilist,has_mangaupdates
2JgZQTd2,Log-in Murim,reading,,232,"July 31, 2025",Long Reader,5,"ログイン武林, 로그인 무림, 登录武林系统",True,True,True
oeY2OSRH,Regression of the Yong Clan Heir,reading,,22,"May 31, 2025",Early Chapters,4,"天中龍門, 천중용문, 天中龍門",False,False,False
ieNorEEW,The Return of the Disaster-Class Hero,reading,,141,"August 30, 2025",Well Advanced,5,"재앙급 영웅님이 귀환하셨다, Return of the Disaster-Class Hero, Возвращение героя катастрофы",True,True,True
lu3KZ5QL,The Dragon Slayer Academy's Hotshot,reading,,104,"August 30, 2025",Well Advanced,5,"My Little Brother Is the Academy's Hotshot, The Hero's Younger Brother Is a Deceased Person in the Academy, The Little Brother Is the Academy's Hotshot",True,True,True
HIErXYA,A Regressor’s Tale of Cultivation,reading,,17,"August 30, 2025",Early Chapters,4,"회귀수선전, 回歸修仙傳, ARTOC | RToC | 回歸修仙傳 | 회귀수선전",True,True,True
HHGiVJh,Childhood Friend of the Zenith,reading,,69,"August 30, 2025",Mid Progress,5,"천하제일인의 소꿉친구, The best childhood friend in the world, Childhood Friend of the Zenith",True,True,True
ot6FlAq0,The 100th Regression of the Max-Level Player,reading,,64,"July 30, 2025",Mid Progress,5,"A Centésima Regressão do Jogador de Nível Máximo, La centième régression du joueur niveau max, 만렙 플레이어의 100번째 회귀",False,False,False
9uQQBcD6,The White Tower's Rogue Mage,reading,,7,"April 30, 2025",Early Chapters,5,"The Magic Tower's Problematic Child, El chico problemático de la torre mágica, Проблемный ребёнок магической башни",True,True,True
4jZ39j6d,World’s Greatest Senior Disciple,reading,,136,"August 29, 2025",Well Advanced,5,"Unparalleled Senior Brother, 천하제일 대사형, 天下無双大師兄",True,True,True
J3Et4SIo,Emperor's Sword,reading,,90,"August 29, 2025",Mid Progress,5,"황제의 검 (류신), 황제의 검 (2023), 皇帝の剣〜絶対至尊への道〜",True,True,True
l_Vjpvkq,Second Life Ranker,reading,,217,"August 29, 2025",Long Reader,5,"เกมชีวิตที่สอง ของแรงเกอร์, Ranker yang Hidup Dua Kali, Ранкер",True,True,True
RNiqeWou,The Fox-Eyed Villain of the Demon Academy,reading,,31,"June 29, 2025",Early Chapters,2,"The Narrow-Eyed Villain of the Demon Academy, 마계 아카데미의 실눈 악역",False,True,True
cDM1OGgv,Doomsday: Virus Monarch,reading,,4,"June 29, 2025",Early Chapters,5,"全民末日：我！病毒君王, 末日の進化:ウィルス王の覚醒, 末日の進化：ウィルス王の覚醒",False,True,True
HIFItur,I Killed an Academy Player,reading,,68,"June 29, 2025",Mid Progress,5,"我殺了學院玩家, I Killed the Player of the Academy, Academy Player-reul Jugyeotda",True,True,True
_8BpMfmj,Relife Player,reading,,65,"February 28, 2025",Mid Progress,5,"리라이프 플레이어, Re:Life Player, Re: Life Player",True,True,True
HIET4CH,Black Haze (2025),reading,,28,"August 26, 2025",Early Chapters,5,"블랙 헤이즈, مه سیاه, Черная мгла",False,False,False
pDzrEyhX,"Han Daesung, Back From Hell",reading,,134,"July 26, 2025",Well Advanced,5,"지옥에서 돌아온 한대성, Han Dae Sung Returned From Hell, Jiogeseo Doraon Handaeseong",True,True,True
j0AWlMg7,Chronicles of the Reincarnated Demon God,reading,,58,"August 25, 2025",Mid Progress,4,"La leyenda del dios demonio reencarnado, 転生魔神伝〜逆境を超えし覇王〜, Legend of the Reincarnated Demon God",True,True,True
EPl3QHL_,Revenge of the Baskerville Bloodhound,reading,,127,"August 25, 2025",Well Advanced,5,"철혈검가 사냥개의 회귀, Cheolhyeolgeomga Sanyanggaeui Hoegwi, Demir kanlı kılıç tazısının i̇ntikamı",True,True,True
eGrWrVOG,The Demon King Levels Up,reading,,97,"March 25, 2025",Mid Progress,5,"武功魔王, Demon Lord's Martial Arts Ascension, 무공으로 레벨업하는 마왕님",True,True,True
6_bD3LCs,Heavenly Demon Reborn!,reading,,252,"March 25, 2025",Long Reader,5,"新马擎天记, 新馬擎天記, Kroniki Niebiańskiego Demona",True,True,True
HIFItus,The Last Adventurer,reading,,59,"March 25, 2025",Mid Progress,5,"최후의 모험가, Последний искатель приключений, Choehu-ui Moheomga",False,False,False
6wFG0hji,Boundless Ascension,reading,,150,"August 24, 2025",Well Advanced,5,"나 혼자 특성빨로 무한 성장, Boundless Necromancer, Некромант",True,True,True
